"No.","Time","Source","Destination","Protocol","Length","Time since reference or first frame","Info"
"4430","34.925623351","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:802::2008","QUIC","96","34.925623351","Protected Payload (KP0), DCID=f64d68c593241874"
"4431","34.925657962","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:802::2008","QUIC","96","34.925657962","Protected Payload (KP0), DCID=f64d68c593241874"
"4432","34.925691058","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:802::2008","QUIC","96","34.925691058","Protected Payload (KP0), DCID=f64d68c593241874"
"4439","34.929828701","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:802::2008","QUIC","96","34.929828701","Protected Payload (KP0), DCID=f64d68c593241874"
"4440","34.929872026","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:802::2008","QUIC","96","34.929872026","Protected Payload (KP0), DCID=f64d68c593241874"
"4441","34.929903223","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:802::2008","QUIC","96","34.929903223","Protected Payload (KP0), DCID=f64d68c593241874"
"4447","34.932086503","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:802::2008","QUIC","96","34.932086503","Protected Payload (KP0), DCID=f64d68c593241874"
"4448","34.932124203","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:802::2008","QUIC","96","34.932124203","Protected Payload (KP0), DCID=f64d68c593241874"
"4451","34.933707043","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:802::2008","QUIC","96","34.933707043","Protected Payload (KP0), DCID=f64d68c593241874"
"4453","34.934429933","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:802::2008","QUIC","96","34.934429933","Protected Payload (KP0), DCID=f64d68c593241874"
"4462","34.939313076","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:802::2008","QUIC","96","34.939313076","Protected Payload (KP0), DCID=f64d68c593241874"
"4463","34.939351328","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:802::2008","QUIC","96","34.939351328","Protected Payload (KP0), DCID=f64d68c593241874"
"4464","34.939383431","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:802::2008","QUIC","96","34.939383431","Protected Payload (KP0), DCID=f64d68c593241874"
"4473","34.945943965","2a06:c701:472d:c000:6fff:6e94:31da:5893","2a00:1450:4028:802::2008","QUIC","96","34.945943965","Protected Payload (KP0), DCID=f64d68c593241874"
